Movie Name,Movie Link,Fshare Link,Original Title,Genre,Year,Runtime,Rating,Overview,Poster URL,Backdrop URL,TMDB ID
Stranger Things: Season 5 - Cậu bé mất tích: Phần 5 - (2025),https://thuviencine.com/phim-cau-be-mat-tich-phan-5-stranger-things-season-5-2025-fshare/,https://www.fshare.vn/folder/1JAIJT7ALVAI,Stranger Things,"Sci-Fi & Fantasy, Phim Bí Ẩn, Action & Adventure",2016,,8.6,"Khi một cậu bé mất tích, một thị trấn nhỏ khám phá ra một bí ẩn liên quan đến các thử nghiệm tối mật, sức mạnh siêu nhiên đáng sợ và một cô bé lạ lùng.",https://image.tmdb.org/t/p/w500/3AJr9B1Yn4TyaFeZ4OkaTVP1LNr.jpg,https://image.tmdb.org/t/p/original/8zbAoryWbtH0DKdev8abFAjdufy.jpg,66732
Wicked: For Good - Wicked: Phần 2 - (2025),https://thuviencine.com/phim-wicked-phan-2-wicked-for-good-2025-fshare/,https://www.fshare.vn/folder/3EJAG7E2VYV8,Wicked: For Good,"Phim Giả Tượng, Phim Phiêu Lưu, Phim Lãng Mạn",2025,137 phút,6.7,"Bộ phim chuyển thể từ sân khấu Broadway thành công nhất mọi thời đại, hiện tượng điện ảnh toàn cầu năm 2024 nay chính thức đi đến hồi kết hoành tráng, kịch tính và đầy cảm xúc trong Wicked: Phần 2. Chương cuối của câu chuyện bắt đầu khi Elphaba và Glinda đã xa cách, mỗi người đang sống với hậu quả từ những lựa chọn của riêng mình. Elphaba giờ đây bị cả xứ Oz xem như Phù thủy độc ác phương Tây, trong khi đó Glinda đã trở thành biểu tượng quyến rũ của Lòng tốt đối với toàn bộ xứ Oz. Và mọi thứ thay đổi khi một cô gái đến từ Kansas bất ngờ xuất hiện, khiến cuộc sống của xứ Oz bị đảo lộn. Glinda và Elphaba buộc phải cùng nhau đối mặt lần cuối, họ phải thật sự thấu hiểu nhau, bằng sự trung thực và đồng cảm, nếu muốn thay đổi chính mình và cả vận mệnh của xứ Oz. Liệu Elphaba và Glinda có thể vượt qua số phận đã được định sẵn để viết lại tương lai cho xứ sở phép màu này?",https://image.tmdb.org/t/p/w500/oQSPp51Uv74civ9gv3wqJmqlJVX.jpg,https://image.tmdb.org/t/p/original/l8pwO23MCvqYumzozpxynCNfck1.jpg,967941
Avatar: Fire and Ash - Avatar: Lửa và Tro Tàn - (2025),https://thuviencine.com/phim-avatar-lua-va-tro-tan-avatar-fire-and-ash-2025-fshare/,https://www.fshare.vn/folder/DFP1O355Z93B,Avatar: Fire and Ash,"Phim Khoa Học Viễn Tưởng, Phim Phiêu Lưu, Phim Giả Tượng",2025,198 phút,7.4,"Sau cuộc chiến tàn khốc với RDA và nỗi mất mát to lớn khi đứa con trai cả hy sinh, Jake Sully và Neytiri phải đối mặt với một mối đe dọa mới trên Pandora: tộc Tro Tàn — một nhóm Na'vi hung bạo và khát khao quyền lực, do thủ lĩnh tàn nhẫn Varang dẫn dắt. Gia đình Jake buộc phải chiến đấu để sinh tồn và bảo vệ tương lai của Pandora, trong một cuộc xung đột đẩy họ đến giới hạn cuối cùng cả về thể xác lẫn tinh thần.",https://image.tmdb.org/t/p/w500/w6DBmG260sCHBQdGzkBIVn9gAQZ.jpg,https://image.tmdb.org/t/p/original/iN41Ccw4DctL8npfmYg1j5Tr1eb.jpg,83533
Zootopia 2 - Phi Vụ Động Trời 2 - (2025),https://thuviencine.com/phim-phi-vu-dong-troi-2-zootopia-2-2025-fshare/,https://www.fshare.vn/folder/QJAJJUBPFQ59,Zootopia 2,"Phim Hoạt Hình, Phim Hài, Phim Phiêu Lưu, Phim Gia Đình, Phim Bí Ẩn",2025,107 phút,7.7,"Trong bộ phim ""Zootopia 2 - Phi Vụ Động Trời 2"" từ Walt Disney Animation Studios, hai thám tử Judy Hopps (lồng tiếng bởi Ginnifer Goodwin) và Nick Wilde (lồng tiếng bởi Jason Bateman) bước vào hành trình truy tìm một sinh vật bò sát bí ẩn vừa xuất hiện tại Zootopia và khiến cả vương quốc động vật bị đảo lộn. Để phá được vụ án, Judy và Nick buộc phải hoạt động bí mật tại những khu vực mới lạ của thành phố – nơi mối quan hệ đồng nghiệp của họ bị thử thách hơn bao giờ hết.",https://image.tmdb.org/t/p/w500/5wXpOF9WPUKliIzNBdAqwAStLHU.jpg,https://image.tmdb.org/t/p/original/7nfpkR9XsQ1lBNCXSSHxGV7Dkxe.jpg,1084242
The Housemaid - Cô Hầu Gái - (2025),https://thuviencine.com/phim-co-hau-gai-the-housemaid-2025-fshare/,https://www.fshare.vn/folder/QUS68AIFECB8,The Housemaid,"Phim Bí Ẩn, Phim Gây Cấn",2025,131 phút,7.5,"Từ đạo diễn Paul Feig, một thế giới hỗn loạn sẽ mở ra, nơi sự hoàn hảo chỉ là ảo giác và mọi thứ dường như đều đang che đậy một bí mật đằng sau. Để chạy trốn khỏi quá khứ, Millie (Sydney Sweeney) trở thành bảo mẫu cho gia đình Nina (Amanda Seyfried) và Andrew (Brandon Sklener), một cặp đôi giàu có. Nhưng ngay khi cô chuyển vào sống chung và bắt đầu công việc ""trong mơ"", sự thật dần được hé lộ - đằng sau vẻ ngoài xa hoa lộng lẫy là mối nguy lớn hơn bất cứ thứ gì Millie có thể tưởng tượng. Một trò chơi đầy cám dỗ của bí mật và quyền lực sắp bắt đầu.",https://image.tmdb.org/t/p/w500/vpHLCt2bwYmmkGH4soqJNIFLOUQ.jpg,https://image.tmdb.org/t/p/original/sK3z0Naed3H1Wuh7a21YRVMxYqt.jpg,1368166
Trap House - Báo Thủ Báo Nhà - (2025),https://thuviencine.com/phim-trap-house-trap-house-2025-fshare/,https://www.fshare.vn/folder/3LHAOCFRD8RV,Trap House,"Phim Hành Động, Phim Hình Sự, Phim Gây Cấn",2025,102 phút,6.1,"Một đặc vụ DEA chìm và cộng sự của anh ta bắt đầu cuộc rượt đuổi mèo vờn chuột với một nhóm trộm táo tợn và đáng ngạc nhiên – chính là những đứa con tuổi teen nổi loạn của họ, những kẻ đã bắt đầu cướp bóc từ một băng đảng ma túy nguy hiểm, sử dụng chiến thuật và thông tin tình báo tối mật của cha mẹ chúng để thực hiện điều đó.",https://image.tmdb.org/t/p/w500/e39G8lKvuyvWy7ZoeTMp6LnFJMG.jpg,https://image.tmdb.org/t/p/original/oIJjO1CvEdTMFNkWfHaV0RB584G.jpg,628847
Wake Up Dead Man: A Knives Out Mystery - Kẻ đâm lén: Đánh thức người chết - (2025),https://thuviencine.com/phim-ke-dam-len-danh-thuc-nguoi-chet-wake-up-dead-man-a-knives-out-mystery-2025-fshare/,https://www.fshare.vn/folder/Q9SY7T8DX983,Wake Up Dead Man: A Knives Out Mystery,"Phim Gây Cấn, Phim Bí Ẩn, Phim Hài",2025,145 phút,7.2,Thám tử Benoit Blanc bắt tay với vị linh mục trẻ nhiệt huyết để điều tra một tội ác hoàn toàn bất khả thi tại nhà thờ ở thị trấn nhỏ có quá khứ đen tối.,https://image.tmdb.org/t/p/w500/b1pBFNLcZsEvRS7CJBW4Ribe0Mw.jpg,https://image.tmdb.org/t/p/original/fiRDzpcJe7qz3yIR43hdXIE3NHv.jpg,812583
Fallout: Season 2 - Sụp Đổ: Phần 2 - (2025),https://thuviencine.com/phim-sup-do-phan-2-fallout-season-2-2025-fshare/,https://www.fshare.vn/folder/VIMCLOBA7S8F,Fallout,"Action & Adventure, Phim Chính Kịch, Sci-Fi & Fantasy",2024,,8.2,"Dựa trên một trong những loạt trò chơi điện tử ăn khách nhất mọi thời đại, Sụp đổ là câu chuyện về những thứ người ta có và không có trong một thế giới gần như chẳng còn lại gì. 200 năm sau ngày tận thế, một cư dân ôn hòa sống trong hầm tránh phóng xạ ấm cúng buộc phải quay trở lên mặt đất – và bị sốc khi phát hiện vùng hoang tàn này đang chờ đợi cô.",https://image.tmdb.org/t/p/w500/cPdUN1xigjQUxIa9PP5C9wBdvVi.jpg,https://image.tmdb.org/t/p/original/cIgHBLTMbcIkS0yvIrUUVVKLdOz.jpg,106379
Pluribus: Phần 1 - Kẻ Lạc Loài - (2025),https://thuviencine.com/phim-ke-lac-loai-pluribus-phan-1-pluribus-season-1-2025-fshare/,https://www.fshare.vn/folder/2LHFD9VDYFZH,Pluribus,"Phim Chính Kịch, Sci-Fi & Fantasy",2025,,8.0,Người bất hạnh nhất trên đời phải cứu thế giới khỏi ác mộng hạnh phúc.,https://image.tmdb.org/t/p/w500/9qXl7Fa6aqRyL8AxVqhPUmcCqYP.jpg,https://image.tmdb.org/t/p/original/vNCNUxNHHgP0WsA19hxztUsG3yG.jpg,225171
Run Away: Season 1 - Bỏ chạy: Phần 1 - (2026),https://thuviencine.com/phim-bo-chay-phan-1-run-away-season-1-2026-fshare/,https://www.fshare.vn/folder/9F4ZFTJYYO9Y,Sex o no sex,Phim Hài,1974,94 phút,4.3,,https://image.tmdb.org/t/p/w500/48wA2mSHu0HQo1sl4mAJ5Vysjg2.jpg,https://image.tmdb.org/t/p/original/i68Ac2MCm8NFPwg3iXemB7QdgTc.jpg,244244
Demon Slayer: Kimetsu no Yaiba Infinity Castle - Thanh Gươm Diệt Quỷ: Vô Hạn Thành - (2025),https://thuviencine.com/phim-thanh-guom-diet-quy-vo-han-thanh-demon-slayer-kimetsu-no-yaiba-infinity-castle-2025-fshare/,https://www.fshare.vn/folder/1DGVT8DW6S7B,劇場版「鬼滅の刃」無限城編 第一章 猗窩座再来,"Phim Hoạt Hình, Phim Hành Động, Phim Giả Tượng",2025,155 phút,7.6,"Khi các thành viên của Sát Quỷ Đoàn và Trụ Cột tham gia vào chương trình đặc huấn để chuẩn bị cho trận chiến sắp với lũ quỷ, Kibutsuji Muzan xuất hiện tại Dinh thự Ubuyashiki. Khi thủ lĩnh của Sát Quỷ Đoàn gặp nguy hiểm, Tanjiro và các Trụ Cột trở về trụ sở Thế nhưng, Muzan bất ngờ kéo toàn bộ Sát Quỷ Đoàn đến hang ổ cuối cùng của lũ quỷ là Vô Hạn Thành, mở màn cho trận đánh cuối cùng của cả hai phe.",https://image.tmdb.org/t/p/w500/nV99ACeAa8fFFso0tQZ3HktEf5X.jpg,https://image.tmdb.org/t/p/original/1RgPyOhN4DRs225BGTlHJqCudII.jpg,1311031
Spartacus: House of Ashur: Season 1 - Spartacus: Gia Tộc Ashur: Phần 1 - (2025),https://thuviencine.com/phim-spartacus-gia-toc-ashur-phan-1-spartacus-house-of-ashur-season-1-2025-fshare/,https://www.fshare.vn/folder/I9HFDDDJBPC8,The Grass Is Always Greener,Phim Chính Kịch,1950,17 phút,5.3,,https://image.tmdb.org/t/p/w500/f5ujWTxY48f90J3XZoArKo6W3BW.jpg,,240459
