Movie Name,Movie Link,Fshare Link,Original Title,Genre,Year,Runtime,Rating,Overview,Poster URL,Backdrop URL,TMDB ID
Time Flies: Season 1 - Mùa ruồi: Phần 1 - (2026),https://thuviencine.com/phim-mua-ruoi-phan-1-time-flies-season-1-2026-fshare/,https://www.fshare.vn/folder/1LPFSEB5IUF9,El tiempo de las moscas,"Phim Chính Kịch, Phim Hài, Phim Hình Sự",2026,,6.0,"Vừa ra tù và không có mấy lựa chọn, hai người phụ nữ điều hành một dịch vụ diệt côn trùng – cho đến khi một khách hàng mờ ám kéo họ trở lại cuộc đời mà họ đã chật vật thoát khỏi.",https://image.tmdb.org/t/p/w500/9n2HM0guy6Wn95EshDj7Uw6XWd2.jpg,https://image.tmdb.org/t/p/original/jy5aBUEF8zT0Grl75NuSWoFuX5b.jpg,285636
Taxi Driver: Season 3 - Ẩn Danh: Phần 3 - (2025),https://thuviencine.com/phim-an-danh-phan-3-taxi-driver-season-3-2025-fshare/,https://www.fshare.vn/folder/D7L3EEKEZKHJ,모범택시,"Action & Adventure, Phim Hình Sự, Phim Chính Kịch",2021,64 phút/tập,8.2,"Bộ phim diễn ra xung quanh một công ty taxi bí mật có tên Rainbow Taxi chuyên trả thù những nạn nhân của tội ác không được pháp luật bảo vệ. Lee Je Hoon vào vai một cựu sĩ quan đặc nhiệm, hiện là tài xế taxi Kim Do Ki, người có trực giác bẩm sinh nhưng cũng có óc phán đoán lạnh lùng và tính cách táo bạo. Esom vào vai công tố viên Kang Ha Na thông minh và tinh ranh. Kim Eui Sung vào vai Jang Sung Chul, người sáng lập ra Rainbow Taxi . Và Lee Na Eun vào vai chuyên gia IT Go Eun, người đang làm việc cho Rainbow Taxi và tìm ra thông tin cá nhân để giúp giải quyết các vụ việc.",https://image.tmdb.org/t/p/w500/4inQ2pBOl5USnQ3ypGUfKbXsvpL.jpg,https://image.tmdb.org/t/p/original/qrlfF3usm2FZCMvCg2uas8CazxW.jpg,119769
Spartacus: House of Ashur: Season 1 - Spartacus: Gia Tộc Ashur: Phần 1 - (2025),https://thuviencine.com/phim-spartacus-gia-toc-ashur-phan-1-spartacus-house-of-ashur-season-1-2025-fshare/,https://www.fshare.vn/folder/I9HFDDDJBPC8,Spartacus: House of Ashur,"Phim Chính Kịch, Action & Adventure",2025,,6.3,"Trong một thế giới mà hắn đã sống sót sau sự kiện Spartacus (2010), Ashur đã giành được quyền lực, sở hữu chính đấu trường Ludus mà hắn từng sở hữu. Liên minh với một nữ đấu sĩ hung dữ, Ashur tạo ra một màn trình diễn mới khiến giới thượng lưu phải phẫn nộ.",https://image.tmdb.org/t/p/w500/vNByuzy60v31nmUVPMA8oAtneUK.jpg,https://image.tmdb.org/t/p/original/ckPbbcJOcL43mJBrROTMrtOBIYK.jpg,240459
Run Away: Season 1 - Bỏ chạy: Phần 1 - (2026),https://thuviencine.com/phim-bo-chay-phan-1-run-away-season-1-2026-fshare/,https://www.fshare.vn/folder/9F4ZFTJYYO9Y,Run Away,"Phim Chính Kịch, Phim Bí Ẩn",2026,,7.1,"Đang tìm kiếm cô con gái bỏ nhà đi, người bố tuyệt vọng nọ bị cuốn vào một vụ án mạng – rồi tình cờ phát hiện những bí mật có thể hủy hoại gia đình anh mãi mãi.",https://image.tmdb.org/t/p/w500/2ooe7Y5ccY8g3ZNU7T3wB1r3WUq.jpg,https://image.tmdb.org/t/p/original/1jBYTcOuiPNJsTcfYk66bbVLSBz.jpg,244244
Witness Insecurity: Season 1 - Bảo Vệ Nhân Chứng: Phần 1 - (2012),https://thuviencine.com/phim-bao-ve-nhan-chung-phan-1-witness-insecurity-season-1-2012-fshare/,https://www.fshare.vn/folder/6GHQ2P7IQX6Q,護花危情,Phim Chính Kịch,2012,45 phút/tập,6.0,"Hứa Vỹ Thâm (Huỳnh Tông Trạch) là người làm trong đội bảo vệ nhân chứng, chịu trách nhiệm bảo vệ cho Kiều Tử Lâm (Chung Gia Hân) – một người vô tình chứng kiến 1 vụ án, đồng thời cô cũng là thiên kim của 1 trong những người giàu nhất thành phố (Tần Bái). Kiều Tử Lâm có tính cách lập dị, luôn luôn mắc kẹt trong thế giới riêng của chính mình, nhưng sự xuất hiện của Vỹ Thâm khiến Kiều Tử Lâm cởi mở hơn. Đồng thời Vỹ Thâm cũng có ấn tượng tốt về Kiều Tử Lâm, bắt đầu lên kế hoạch theo đuổi cô.

Chuyện tình của Tử Lâm – Vỹ Thâm dần dần được cha Tử Lâm chấp nhận thì đúng lúc này kẻ thù 30 năm của cha Tử Lâm (Lý Quốc Lân) trở lại, đe doạ sự yên bình của mọi người. Vỹ Thâm bị mắc kẹt ở giữa, phải đứng ra bảo vệ công lý lẫn tình yêu của mình…",https://image.tmdb.org/t/p/w500/l7PaO3PzyBUUy7UX1UDbrTsO9aT.jpg,https://image.tmdb.org/t/p/original/y237CS3E9I2YoNVRos68tYT1aCL.jpg,42221
Women on the Run: Season 1 - Phận Nữ Long Đong: Phần 1 - (2005),https://thuviencine.com/phim-phan-nu-long-dong-phan-1-women-on-the-run-season-1-2005-fshare/,https://www.fshare.vn/folder/RNPB6L84J4NN,窈窕熟女,,2005,,,,https://image.tmdb.org/t/p/w500/Ja1bXrxQvFma5tOp2gCMl4YvxG.jpg,https://image.tmdb.org/t/p/original/lfhOOXpLIOvmeB3wtaiOuaChY2V.jpg,8053
Wong Fei Hung Returns: Season 1 - Đệ Tử Hoàng Phi Hồng: Phần 1 - (1992),https://thuviencine.com/phim-de-tu-hoang-phi-hong-phan-1-wong-fei-hung-returns-season-1-1992-fshare/,https://www.fshare.vn/folder/QOYG54TK17MA,我愛牙擦蘇,"Phim Chính Kịch, Phim Hài",1992,,5.5,,https://image.tmdb.org/t/p/w500/erJ94Jw5jJDKuBjDFiLZTUjebbc.jpg,https://image.tmdb.org/t/p/original/bwObLSDMGdWp3nFzcilBC4J7nHa.jpg,109732
The Vendetta of An: Season 1 - Trường An 24 Kế: Phần 1 - (2025),https://thuviencine.com/phim-truong-an-24-ke-phan-1-the-vendetta-of-an-season-1-2025-fshare/,https://www.fshare.vn/folder/8ZYO6JYYO6IT,长安二十四计,"Phim Chính Kịch, Phim Bí Ẩn, War & Politics",2025,,8.8,"Tranh đấu ngầm nơi triều đình dậy sóng, trí tuệ xoay chuyển cục diện, bảo vệ yên bình. Một trận chiến mưu lược khó lường sắp bắt đầu!",https://image.tmdb.org/t/p/w500/8u6E1MnfKktdk7TtWHo2DdqzS0o.jpg,https://image.tmdb.org/t/p/original/khHpr9W9cZ7mlQGvabC2IeG69pg.jpg,254482
Idol I: Season 1 - Luật Sư Của Thần Tượng: Phần 1 - (2025),https://thuviencine.com/phim-luat-su-cua-than-tuong-phan-1-idol-i-season-1-2025-fshare/,https://www.fshare.vn/folder/QOXEVYXG8FAS,ಚಲಿಸುವ ಮೋಡಗಳು,Phim Chính Kịch,1982,157 phút,,,https://image.tmdb.org/t/p/w500/h1SiJreqLNgP4FyONntXcIvSQ84.jpg,,307873
Surely Tomorrow: Season 1 - Mong Ngày Mai Đến: Phần 1 - (2025),https://thuviencine.com/phim-mong-ngay-mai-den-phan-1-surely-tomorrow-season-1-2025-fshare/,https://www.fshare.vn/folder/EKEYG2OYIE7G,경도를 기다리며,"Phim Hài, Phim Chính Kịch",2025,60 phút/tập,8.1,"Lee Gyeong Do và Seo Ji Woo gặp nhau lần đầu năm 20 tuổi tại một câu lạc bộ kịch và nảy sinh tình cảm nhưng chia tay sau đó. 8 năm sau, cả hai hẹn hò lại nhưng lại tiếp tục rời xa. Nhiều năm sau, họ gặp lại nhau, khi Gyeong Do là phóng viên đưa tin về một vụ bê bối ngoại tình và Ji Woo là vợ của người đàn ông trung tâm của vụ việc.",https://image.tmdb.org/t/p/w500/pkEq1AhKKkUzYomIw5hhz4exWFv.jpg,https://image.tmdb.org/t/p/original/2sthhg2okBF91wlwxvFaM4eXiTg.jpg,281005
