Movie Name,Movie Link,Fshare Link,Original Title,Genre,Year,Runtime,Rating,Overview,Poster URL,Backdrop URL,TMDB ID
A Very Jonas Christmas Movie - Muôn Kiểu Giáng Sinh Cùng Anh Em Nhà Jonas - (2025),https://thuviencine.com/phim-muon-kieu-giang-sinh-cung-anh-em-nha-jonas-a-very-jonas-christmas-movie-2025-fshare/,https://www.fshare.vn/folder/QRFJ4NN357AK,A Very Jonas Christmas Movie,"Phim Hài, Phim Nhạc",2025,78 phút,6.2,"Kevin, Nick và Joe Jonas phải đối mặt với hàng loạt rắc rối dở khóc dở cười khi họ chật vật tìm cách trở về New York từ London sao cho kịp đón Giáng Sinh cùng gia đình.",https://image.tmdb.org/t/p/w500/kGLgaDrYWmTAdRFzGP5pBquRnhO.jpg,https://image.tmdb.org/t/p/original/ajYw16ISz3qsdYTg4zy5rob1iAQ.jpg,1425122
Aliwan Inn - Aliwan Inn - (2025),https://thuviencine.com/phim-aliwan-inn-aliwan-inn-2025-fshare/,https://www.fshare.vn/folder/HD6HK72C9ZXF,Aliwan Inn,Phim Chính Kịch,2025,72 phút,10.0,"Một nhân viên nhút nhát thầm mơ mộng về vị khách quen quyến rũ của nhà nghỉ, một gái mại dâm nổi tiếng. Anh ta nhận ra những giấc mơ hoang đường nhất của mình đang trở thành hiện thực khi cuộc gặp gỡ với người con gái trong mộng dẫn đến những đêm nồng cháy tại nhà trọ tội lỗi nhất thị trấn.;",https://image.tmdb.org/t/p/w500/jq4sOUJZkGd9PVxiDly2UIn7d0Z.jpg,https://image.tmdb.org/t/p/original/gc2HXY2oJPW0D2iohFvkPrOE9o1.jpg,1588858
Dead of Winter - Sát Nhân Giữa Trời Đông - (2025),https://thuviencine.com/phim-sat-nhan-giua-troi-dong-dead-of-winter-2025-fshare/,https://www.fshare.vn/folder/NSR68CSPVYXI,Dead of Winter,Phim Gây Cấn,2025,98 phút,6.4,"Một người phụ nữ, đang đi một mình qua miền bắc Minnesota phủ đầy tuyết trắng, đã ngăn chặn vụ bắt cóc một cô gái tuổi teen. Cách thị trấn gần nhất hàng giờ đồng hồ và không có sóng điện thoại, cô nhận ra rằng mình là hy vọng duy nhất của cô gái trẻ.",https://image.tmdb.org/t/p/w500/5DcrN62sGAiRJxt8rXSRlSRLwIE.jpg,https://image.tmdb.org/t/p/original/ajdB8AoHKrYlOR4yMDMZYLFyfdj.jpg,1235746
The Housemaid - Cô Hầu Gái - (2025),https://thuviencine.com/phim-co-hau-gai-the-housemaid-2025-fshare/,https://www.fshare.vn/folder/QUS68AIFECB8,The Housemaid,"Phim Bí Ẩn, Phim Gây Cấn",2025,131 phút,7.5,"Từ đạo diễn Paul Feig, một thế giới hỗn loạn sẽ mở ra, nơi sự hoàn hảo chỉ là ảo giác và mọi thứ dường như đều đang che đậy một bí mật đằng sau. Để chạy trốn khỏi quá khứ, Millie (Sydney Sweeney) trở thành bảo mẫu cho gia đình Nina (Amanda Seyfried) và Andrew (Brandon Sklener), một cặp đôi giàu có. Nhưng ngay khi cô chuyển vào sống chung và bắt đầu công việc ""trong mơ"", sự thật dần được hé lộ - đằng sau vẻ ngoài xa hoa lộng lẫy là mối nguy lớn hơn bất cứ thứ gì Millie có thể tưởng tượng. Một trò chơi đầy cám dỗ của bí mật và quyền lực sắp bắt đầu.",https://image.tmdb.org/t/p/w500/vpHLCt2bwYmmkGH4soqJNIFLOUQ.jpg,https://image.tmdb.org/t/p/original/sK3z0Naed3H1Wuh7a21YRVMxYqt.jpg,1368166
Regretting You - Cuộc Tình Vụng Trộm - (2025),https://thuviencine.com/phim-cuoc-tinh-vung-trom-regretting-you-2025-fshare/,https://www.fshare.vn/folder/FIY1YID31KKT,Regretting You,"Phim Lãng Mạn, Phim Chính Kịch",2025,116 phút,7.0,"Jonah và Chris là hai người bạn thân. Jenny và Morgan là hai chị em ruột. Nếu Chris và Jenny luôn ồn ào nhiệt huyết thì Jonah và Morgan lại sâu lắng và kiệm lời. Sau buổi dạ hội cuối cấp, Morgan thông báo mình có thai với Chris. Và cũng vào ngày hôm ấy, Jonal nói lời chia tay Jenny và rời đi.",https://image.tmdb.org/t/p/w500/z4gVnxTaks3anTycwKjDmvQSuWt.jpg,https://image.tmdb.org/t/p/original/m3WlBJJRbFPaut1QS0PbOG8Wezy.jpg,1327862
Nuremberg - Nuremberg: Phiên Tòa Lịch Sử - (2025),https://thuviencine.com/phim-nuremberg-phien-toa-lich-su-nuremberg-2025-fshare/,https://www.fshare.vn/folder/94HR6BPELGBV,Nuremberg,"Phim Lịch Sử, Phim Chính Kịch",2025,148 phút,7.3,"Nuremberg (2025) tái hiện giai đoạn căng thẳng ngay sau Thế chiến II, khi các cường quốc Đồng Minh tiến hành những phiên tòa lịch sử nhằm đưa các tội phạm chiến tranh Đức Quốc xã ra trước công lý vì thảm họa diệt chủng Holocaust. Trung tâm câu chuyện là cuộc đối đầu tâm lý đầy ám ảnh giữa bác sĩ tâm thần quân đội Mỹ và Hermann Göring",https://image.tmdb.org/t/p/w500/sxu8TsG7k06ymWL98ELEIE1EMZV.jpg,https://image.tmdb.org/t/p/original/ajzEWXl1z75Mx6lOj9lToHt5t6Z.jpg,1214931
Unseen Enemy - Kẻ Thù Vô Hình - (2025),https://thuviencine.com/phim-ke-thu-vo-hinh-unseen-enemy-2025-fshare/,https://www.fshare.vn/folder/BG2P2VYWE1NV,Unseen Enemy,"Phim Hành Động, Phim Hình Sự, Phim Gây Cấn",2025,101 phút,4.6,"Unseen Enemy xoay quanh một thám tử tư sống ẩn dật sau biến cố quá khứ khiến gia đình anh trở thành mục tiêu truy sát. Khi một người bạn cũ tìm đến nhờ giúp đỡ trong việc tìm kiếm người em gái mất tích bí ẩn, anh buộc phải rời khỏi nơi trú ẩn an toàn.",https://image.tmdb.org/t/p/w500/A5mQcSgBeML2OBQLCH6RXn7gNNy.jpg,https://image.tmdb.org/t/p/original/7TsA9t4iy3lcYHBHPT9o2FOkZ0.jpg,1576878
Fackham Hall - Chuyện Nhà Quý Tộc - (2025),https://thuviencine.com/phim-chuyen-nha-quy-toc-fackham-hall-2025-fshare/,https://www.fshare.vn/folder/S8IK2B4C369L,Fackham Hall,"Phim Hài, Phim Lịch Sử",2025,97 phút,7.2,"Phim thể loại hài bựa châm biếm, tựa phim là cách chơi chữ của từ ""Fuck'em"" hoặc nghiêm túc hơn ""Function Hall"". Nội dung xoay quanh câu chuyện đám cưới thảm họa của cô con gái cả gia đình quý tộc Davenport & mối quan hệ tình cảm giữa cô con gái út với chàng trai xuất thân bình dân.",https://image.tmdb.org/t/p/w500/fwpdRe6WGmzqXFEJYJVepDQ6jrw.jpg,https://image.tmdb.org/t/p/original/jlqan4iTqliIjIRivtqDDRJh2H5.jpg,1175174
Dollhouse - Vong Nhi Cúp Bế - (2025),https://thuviencine.com/phim-vong-nhi-cup-be-dollhouse-2025-fshare/,https://www.fshare.vn/folder/UZ37E8KZWCN2,ドールハウス,"Phim Kinh Dị, Phim Bí Ẩn",2025,110 phút,7.1,"Suzuki Yoshie bỗng tìm thấy một con búp bê giống với đứa con gái đã mất của mình, vì quá đau buồn mà vợ chồng cô đã chăm sóc con búp bê trong suốt nhiều năm. Sự việc kinh hoàng xảy ra khi cô phát hiện mình đã có thai, và dường như con búp bê của cô không muốn chia sẻ tình thương với “đứa em” sơ sinh đó.",https://image.tmdb.org/t/p/w500/xmMX4Ve5PPWzayaqN94Doqu8Klh.jpg,https://image.tmdb.org/t/p/original/faDD1VulsjasBtCySuLWTW201lz.jpg,1404791
Love Barista - Tay Anh Giữ Một Vì Sao - (2025),https://thuviencine.com/phim-tay-anh-giu-mot-vi-sao-love-barista-2025-fshare/,https://www.fshare.vn/folder/OZMU6XXLVF69,나혼자 프린스,"Phim Lãng Mạn, Phim Hài",2025,117 phút,6.0,"Siêu sao Kang Jun Woo – “Hoàng tử Châu Á” – rơi vào tình cảnh “mắc kẹt” tại Việt Nam sau một loạt sự cố dở khóc dở cười, nơi anh gặp Thảo – một cô gái bán cà phê đầy đam mê, quyết tâm theo đuổi ước mơ của mình.",https://image.tmdb.org/t/p/w500/1mqJZHJ4KQNduyWsc3EFzfRj6Kg.jpg,https://image.tmdb.org/t/p/original/jDNbVUAZW2khP3Ks1TLFgcWiszK.jpg,1326886
